order_id,delivered,delivered_by,release_time,deadline,completion_time,is_late,x,y
0,1,41,35,51,40,0,3.1971339922894186,0.12505377611333468
1,1,23,114,141,119,0,3.682356070820062,3.3834974371145563
2,1,26,27,40,36,0,2.1096090984263522,0.14898609719035172
3,1,46,89,109,95,0,2.806225314693065,3.5800980646120175
4,1,4,111,122,118,0,2.2460452314192683,1.3909535411533136
5,1,12,19,34,25,0,3.4906969749411343,1.7012525825899594
6,1,19,45,97,51,0,0.5110513825992435,1.8996365031866869
7,1,7,58,86,63,0,1.3226043361100652,0.21725221461548594
8,1,27,80,106,84,0,0.39400099039229086,1.4658914070354645
9,1,28,5,34,11,0,2.88676072628381,3.5228591810746175
10,1,3,29,75,32,0,1.4469398180105357,0.3989598846181375
11,1,39,46,61,54,0,1.3898680155504606,3.178422221322001
12,1,12,119,140,130,0,1.0475351538574385,1.334889110245567
13,1,29,93,111,98,0,3.045655028334941,0.8556932409904849
14,1,31,81,106,86,0,1.897277208788239,4.9476167531829764
15,1,13,99,111,102,0,3.423071254949373,4.214259600949048
16,1,7,8,24,14,0,4.025229003856071,2.0058239351116445
17,1,49,113,158,116,0,1.063132720270703,2.4961562974613867
18,1,10,95,121,99,0,0.7143579522103133,0.6981515976275315
19,1,6,74,95,78,0,3.7350690582612893,2.1421691364728983
20,1,41,63,79,67,0,4.986628889945805,0.6916587244542793
21,1,16,20,48,25,0,4.3055145483333295,0.7642065967413053
22,1,36,76,121,86,0,2.982045153659869,1.9238365583725003
23,1,3,120,131,127,0,1.2570705999090659,2.7661294810764376
24,1,44,34,56,37,0,3.408551845132874,2.684851652043976
25,1,42,58,74,63,0,0.5577608679793822,2.173826253345525
26,1,46,64,108,68,0,4.859440494350571,3.809810995260323
27,1,36,25,38,30,0,4.208346740862336,2.538314409888171
28,1,16,67,117,72,0,2.6968951505981287,3.8931323931527912
29,1,11,118,152,125,0,1.6207802850233655,0.09738371192916151
30,1,44,112,135,117,0,1.5375706270133072,0.28962583247093776
31,1,48,8,58,17,0,0.4282672603393939,2.4299523165830688
32,1,44,60,99,65,0,3.8291721465349386,0.641957322498814
33,1,39,54,105,60,0,1.3252831447002955,4.362165205426287
34,1,8,91,107,99,0,3.7763259831790275,3.4493381604981073
35,1,19,15,23,20,0,2.1905004195725204,2.587879205177953
36,1,6,29,46,34,0,1.6904278107372765,2.9415435922861666
37,1,24,29,42,36,0,0.3549654300451627,3.1555147863504946
38,1,10,30,52,36,0,4.298177001268733,0.3542867494432672
39,1,23,119,171,134,0,1.071184036852193,0.661559243625125
40,1,24,103,122,114,0,2.3633551315589707,3.923097121453767
41,1,47,54,85,60,0,0.4846540711441166,2.1552559120318877
42,1,3,82,101,89,0,0.2708559361608526,3.267277441328958
43,1,20,13,28,17,0,3.6410679422059133,4.002962554308494
44,1,1,23,38,32,0,2.681428769551722,0.7009114854738724
45,1,36,103,156,107,0,4.3724297703529,0.3769244418714468
46,1,19,69,105,77,0,0.48954364100800174,3.2607244699926103
47,1,15,21,51,26,0,4.631834915040638,4.243478672071527
48,1,45,7,18,15,0,1.0687364959959083,2.005201462747263
49,1,31,100,126,107,0,4.92654421889863,1.3260152908607599
50,1,35,100,132,105,0,2.1150374299508146,4.786588204298366
51,1,0,27,77,33,0,2.4333570582716475,0.9494893363381857
52,1,41,40,61,44,0,3.678685893945217,0.3047878573825791
53,1,47,20,32,24,0,2.5142519145975677,4.263599460241426
54,1,11,8,34,15,0,4.2567127267206075,0.34260666351896174
55,1,20,72,85,80,0,2.0188777565913876,4.707980636145447
56,1,22,74,95,87,0,3.0969075516605153,2.0961245766793626
57,1,18,91,109,95,0,4.6735312886821365,1.021295997117682
58,1,14,38,67,45,0,1.9789292339562725,3.3584511147998564
59,1,40,79,119,85,0,4.678671437224117,0.04657728442123199
60,1,48,33,52,38,0,0.366303605498165,1.0657715613352021
61,1,20,47,68,51,0,4.4043208684321975,4.396351212422714
62,1,25,78,127,82,0,4.168724773199035,3.5176996254368547
63,1,49,38,77,42,0,0.039115535760789744,4.085520675577309
64,1,34,14,67,20,0,4.694650019635519,0.6714555719668386
65,1,19,26,49,32,0,0.7772395488749523,1.4087813572894714
66,1,39,64,84,75,0,3.4374856440066526,4.264564076959487
67,1,6,35,52,42,0,0.4614923385636671,2.117878862818632
68,1,13,33,51,38,0,3.8555961150981357,3.1855668865068982
69,1,7,1,10,5,0,2.7584021056319563,2.138434594903397
