order_id,delivered,delivered_by,release_time,deadline,completion_time,is_late,x,y
0,1,2,35,51,46,0,3.1971339922894186,0.12505377611333468
1,0,,114,141,,0,3.682356070820062,3.3834974371145563
2,1,1,27,40,38,0,2.1096090984263522,0.14898609719035172
3,1,1,89,109,102,0,2.806225314693065,3.5800980646120175
4,1,1,111,122,124,1,2.2460452314192683,1.3909535411533136
5,1,0,19,34,28,0,3.4906969749411343,1.7012525825899594
6,1,0,45,97,53,0,0.5110513825992435,1.8996365031866869
7,1,0,58,86,67,0,1.3226043361100652,0.21725221461548594
8,1,1,80,106,89,0,0.39400099039229086,1.4658914070354645
9,1,0,5,34,11,0,2.88676072628381,3.5228591810746175
10,1,0,29,75,40,0,1.4469398180105357,0.3989598846181375
11,1,1,46,61,59,0,1.3898680155504606,3.178422221322001
12,1,1,119,140,130,0,1.0475351538574385,1.334889110245567
13,0,,93,111,,0,3.045655028334941,0.8556932409904849
14,1,2,81,106,100,0,1.897277208788239,4.9476167531829764
15,1,2,99,111,108,0,3.423071254949373,4.214259600949048
16,1,1,8,24,16,0,4.025229003856071,2.0058239351116445
17,1,1,113,158,136,0,1.063132720270703,2.4961562974613867
18,1,1,95,121,116,0,0.7143579522103133,0.6981515976275315
19,1,0,74,95,87,0,3.7350690582612893,2.1421691364728983
